Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 57,000 MIPS : MIPS budget 54,870 MIPS
  8 out of 8 with MIPS capacity
*   192 out of 193 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor cpu, 25,500 MIPS,
processor wstepna_obrobka_sys.cpu, 4,500 MIPS,
processor kadz_filtracyjna_sys.cpu, 4,500 MIPS,
processor warzenie_sys.cpu, 4,500 MIPS,
processor parowanie_sys.cpu, 4,500 MIPS,
processor wirowanie_sys.cpu, 4,500 MIPS,
processor fermentacja_sys.cpu, 4,500 MIPS,
processor butelkowanie_sys.cpu, 4,500 MIPS,
Total, 57,000 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
    thread kadz_filtracyjna_sys.input_processing_process.process_thread,     1,000 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.input_processing_process.process_thread total 0,450 MIPS below budget 1,000 MIPS (55,0 % slack)
  process kadz_filtracyjna_sys.input_processing_process,   1,500 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.input_processing_process total 0,450 MIPS below budget 1,500 MIPS (70,0 % slack)
    thread kadz_filtracyjna_sys.kadz_control_process.control_thread,     0,000 MIPS,    2,340 MIPS,
    thread kadz_filtracyjna_sys.kadz_control_process.input_gate_c,     2,500 MIPS,    2,340 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.kadz_control_process.input_gate_c total 2,340 MIPS below budget 2,500 MIPS (6,4 % slack)
    thread kadz_filtracyjna_sys.kadz_control_process.output_gate_c,     2,500 MIPS,    2,340 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.kadz_control_process.output_gate_c total 2,340 MIPS below budget 2,500 MIPS (6,4 % slack)
  process kadz_filtracyjna_sys.kadz_control_process,   7,500 MIPS,  7,020 MIPS,process WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.kadz_control_process total 7,020 MIPS below budget 7,500 MIPS (6,4 % slack)
    thread kadz_filtracyjna_sys.water_control_process.sensor_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.water_control_process.sensor_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread kadz_filtracyjna_sys.water_control_process.control_thread,     1,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.water_control_process.control_thread total 0,450 MIPS below budget 1,500 MIPS (70,0 % slack)
    thread kadz_filtracyjna_sys.water_control_process.decision_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.water_control_process.decision_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process kadz_filtracyjna_sys.water_control_process,   8,000 MIPS,  1,350 MIPS,process WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.water_control_process total 1,350 MIPS below budget 8,000 MIPS (83,1 % slack)
